建设工程承包单位在向建设单位提交工程竣工验收报告时，应当向建设单位出具质量保修书,neg,5716.txt
四、飞翔公司已经收到工程结算，未提出异议应视同认可，飞翔公司应支付拖欠的工程款,neg,5540.txt
原、被告在2008年4月8日就先行签订了二标段的《建设工程施工承包补充协议书》，此后才开始二标段的招投标程序，并于2008年7月4日向原告发送二标段的中标通知书，2008年7月20日才签订用于备案的二标段《建设工程施工合同》,neg,6486.txt
3、被告是否按合同约定支付工程价款，原告的诉讼请求是否应当得到法庭的支持,neg,9795.txt
因此，应当依据当事人确认的工程造价审核定案表等文件认定应付工程款为350945117.71元,neg,12145.txt
本院认为，对于案涉工程造价问题，鉴定机构,neg,6522.txt
关于原告诉请就28860744元工程款，对诉争工程进行折价或者拍卖并以所得价款优先受偿的问题，依照《中华人民共和国合同法》第二百八十六条，发包人未按照约定支付价款的，承包人可以催告发包人在合理期限内支付价款,neg,6587.txt
"一、被告大庆建筑安装集团有限责任公司苏州分公司于本判决生效后十日内支付原告邬毅工程款人民币860,616.27元",neg,7457.txt
680000,neg,1928.txt
因此，对于泰诚公司在本案中再次主张2015年10月1日至2016年3月31日期间停工损失不予支持,neg,9542.txt
17栋第13层,neg,1657.txt
待工程主体封顶后7日内返还,neg,10445.txt
"1、繁宝公司支付延期交房违约金60万元(根据上海市建设工程施工投标标书情况汇总表第4条，按工程总造价7,009,179元的每日万分之二计算，自2012年4月8日起算至钱国木业公司使用车间二及门卫室的时间即2013年7月18日止)",neg,335.txt
6、该工程全部竣工验收后7个工作日内，甲方支付30万元工程款给乙方,neg,469.txt
关于第一份机打建设工程施工合同约定的竣工日期应视为双方已进行了调整，原、被告对第一份机打建设工程施工合同的其它内容无异议，根据证据自认规则，本院予以确认,neg,4243.txt
3#、4#、5#楼工程质量竣工验收结论均为合格,neg,1423.txt
关于二期用地清理费10万元的问题，富成公司与建工五建公司签订的合同专用条款9.1约定承包人交工前做到工完场清，双方并未约定承包方将施工废料清离施工现场后再运至弃置地点,neg,8158.txt
7、一车间西侧北大门水泥坡道及门卫室与二车间之间水泥坡道(或可移动钢板)，供铲车通行使用,neg,461.txt
第五，关于被告提出的工程质量等问题构成拒付工程款的理由是否成立的问题,pos,8264.txt
3、不包括地面上面道路与场地水泥地面,neg,447.txt
本案中原、被告双方签订的建设工程施工合同无效，并且原告承建的涉案工程主体经鉴定存在“厂房跨度与钢柱长细比不成正比，钢架柱、梁抗压、抗弯承载力未达到设计要求”等严重质量问题，因此，原告请求按照合同的约定支付承建期间的工程进度款200万元，没有事实和法律依据，本院不予支持,pos,151.txt
宣读这份询问笔录（略）,neg,5504.txt
"95,181,105.52元",neg,11756.txt
北京安泰信达消防工程有限公司鸡西分公司分六次收到鸡西市第一中学校支付的210万元工程款,neg,12993.txt
崔国茂2015.1.14,neg,8472.txt
2.国神华公司应否向南通二建公司返还履约保证金，并支付相应利息及违约金,neg,2731.txt
申请支付金额（按85%）,neg,1530.txt
具体时间以合同为准,neg,5298.txt
"故原告支付的各项税费不能纳入工程款范围，本案工程款总价应认定为7,185,558.61元",neg,7555.txt
证据19，原告对证据的真实性、合法性、关联性无异议，本院认为具有证明效力,neg,6150.txt
第07-08-006号《道路钢筋工程签证及计量报审表》中道路面积比现场面积大是因为主厂房道路工程先后经过两次施工,neg,2786.txt
按照《建设工程施工合同补充协议》的约定，石门城建房产公司可以暂扣工程总价款的5%即925511.65元（18510233元×5%）作为质量保修金，待规定保修期满一年后再一次性予以支付，因此，石门城建房产公司现在应向邓文年支付的工程价款为17584721.35元（18510233元-925511.65元），加上石门城建房产公司认可的应向邓文年支付的地下室施工损失补偿20000元，并扣除石门城建房产公司已向邓文年支付的工程款14231580元，石门城建房产公司还应向邓文年支付工程款3373141.35元（17584721.35元＋20000元-14231580元）,neg,4894.txt
虽然讼争工程尚未竣工验收，但被告第二幼儿园已实际占有并使用讼争工程，按照最高人民法院《关于审理建设工程施工合同纠纷案件适用法律问题的解释》第十三条“建设工程未经竣工验收，发包人擅自使用后，又以使用部分质量不符合约定为由主张权利的，不予支持”的规定，应认定被告已经以自己的行为认可了建设工程质量合格，或自愿承担质量瑕疵,pos,8198.txt
经审核，代付款的《工程签证单》均有道隧公司和五台工业园管委会的盖章确认,neg,12339.txt
2014年7月3日《建设工程施工承包合同》的合同相对方系瑞信公司与吉运公司，加之，瑞信公司及吉运公司不认可挂靠关系，故本院认定瑞信公司将涉案工程发包给了吉运公司，吉运公司在取得陆坊小镇工程后，将部分工程分包给了原告，因原告不具备相关建设工程施工资质，故吉运公司与原告之间系违法分包关系,neg,4732.txt
前款所列行为影响中标结果的，中标无效”的规定，同时也违反了关于承包人不得再次将承包工程全部转包以及承包人必须具备相应建筑资质的规定,neg,8316.txt
20110512,neg,1788.txt
被告欠付原告工程款1284781.83元,neg,1214.txt
&quot;当事人应当按照约定全面履行自己的义务,neg,5525.txt
